년/월/일|종가|시가|고가|저가|거래대금|공매도거래대금|공매도잔고금액
2019/04/22|45,350|45,400|45,900|45,100|273,125,405,900|4,274,865,200|228,801,543,300
2019/04/23|45,200|45,050|45,500|45,000|313,179,774,125|26,153,015,200|235,840,808,400
2019/04/24|44,750|45,400|45,650|44,150|594,100,467,458|26,061,974,400|239,252,742,500
2019/04/25|44,650|44,250|45,000|44,100|485,378,095,190|12,385,413,750|233,646,261,350
2019/04/26|44,850|44,200|45,000|43,800|434,008,341,453|13,765,144,250|231,788,029,200
2019/04/29|46,150|45,150|46,150|45,100|401,124,009,550|11,859,479,200|222,374,098,050
2019/04/30|45,850|46,000|46,300|45,350|509,855,767,200|14,499,690,750|202,960,847,950
2019/05/02|45,900|45,500|46,150|45,400|395,453,520,550|6,465,088,700|218,398,350,600
2019/05/03|45,300|45,900|46,050|45,300|298,782,689,050|15,302,959,650|218,094,494,400
2019/05/07|44,850|45,250|45,300|44,400|538,125,202,400|20,623,933,850|233,704,200,600
2019/05/08|44,250|44,300|44,850|44,200|462,086,636,050|5,003,568,450|226,607,922,750
2019/05/09|42,450|43,900|44,250|42,450|993,611,649,785|23,054,641,650|215,295,405,450
2019/05/10|42,900|42,600|43,450|42,450|624,673,461,000|27,619,355,950|216,024,022,500
2019/05/13|42,650|42,500|43,200|42,350|326,874,119,000|14,675,526,100|213,692,323,150
2019/05/14|42,650|41,300|43,100|41,300|491,109,676,200|19,194,923,150|219,748,708,450
2019/05/15|42,550|42,700|43,050|42,550|327,973,978,000|44,592,259,750|224,635,066,000
2019/05/16|41,550|42,350|42,400|41,350|572,149,879,612|49,531,560,250|230,646,667,650
2019/05/17|41,200|41,950|42,050|40,850|554,484,416,170|48,935,730,650|230,727,663,200
2019/05/20|42,000|41,650|42,100|41,550|659,809,912,200|18,019,265,450|238,190,274,000
2019/05/21|43,150|42,600|43,950|42,350|815,224,371,474|45,007,589,400|229,256,813,000
2019/05/22|43,500|43,700|43,800|42,400|477,853,598,650|47,342,213,100|245,123,413,500
2019/05/23|43,850|43,900|44,000|43,250|536,198,002,640|33,928,489,950|240,261,516,800
2019/05/24|42,700|43,800|43,800|42,400|599,084,523,862|28,883,734,850|227,515,079,400
2019/05/27|42,650|42,500|43,000|42,350|344,043,547,350|12,078,249,150|190,386,060,050
2019/05/28|42,550|42,550|42,950|42,150|1,042,865,612,000|13,328,768,500|170,345,606,100
2019/05/29|41,800|41,850|42,100|41,300|623,333,158,995|28,947,240,850|171,312,660,200
2019/05/30|42,550|42,200|42,700|42,150|499,609,785,843|25,662,647,200|193,175,425,650
2019/05/31|42,500|42,600|42,800|42,150|483,166,570,320|55,893,428,950|199,579,150,000
2019/06/03|43,800|42,950|43,900|42,500|673,362,393,454|74,682,065,200|233,309,241,000
2019/06/04|43,450|43,400|43,700|43,000|429,427,885,923|32,166,589,800|216,523,602,900
2019/06/05|43,900|44,050|44,200|43,700|548,114,387,962|39,828,217,150|203,785,643,800
2019/06/07|44,200|43,600|44,350|43,450|513,994,258,914|36,964,328,600|188,983,199,600
2019/06/10|44,800|44,300|44,850|44,050|391,890,812,549|25,601,826,300|186,420,371,200
2019/06/11|44,850|44,800|45,000|44,550|298,796,054,387|11,024,005,150|171,901,707,900
2019/06/12|44,600|44,800|45,050|44,300|384,320,254,600|30,021,384,350|162,981,512,400
2019/06/13|43,750|44,200|44,400|43,400|740,494,046,450|57,296,144,850|157,888,850,000
2019/06/14|44,000|43,750|44,150|43,300|408,762,663,250|62,901,056,050|177,958,748,000
2019/06/17|43,900|43,750|44,050|43,400|521,513,724,525|9,784,668,900|169,322,080,500
2019/06/18|44,350|43,750|44,500|43,650|353,712,380,200|23,102,794,700|163,328,498,950
2019/06/19|45,350|45,450|45,450|45,000|471,407,748,782|25,776,594,050|-